,Authors,Title,Cities,Publisher,Years,Fund,Segni
1784,"Morra, Umberto",Roma,MessinaMilano,Anonima Romana Editoriale,1931,BTB Segn. 1051-1052 ,"Pieghe, sottolineature e postille."
1785,"Moscardelli, Nicola",Compendium de plantis omnibus,Roma,Valgrisi,1934,BTB Segn. 1050 ,nan
1786,"Mosso, Angelo",Opere scelte,"Napoli, La Tipografica",Garzanti,1972,BTB Segn. 1053 ,Sottolineature e postille.
1787,Mostra del Caravaggio e dei, Il vagabondo,Firenze,Sonzogno,1972,BAL ,Foglietto inserito.
1788,Mostra del giardino italiano.,Proust par luimême,Milano,Seuil,1972,BTB Segn. 1876 ,Intonso.
1789,Mostra della pittura italiana,Sciascia,Figli della Provvidenza,La Nuova Italia,1972,BTB Segn. 842 ,nan
1790,Mostra di capolavori della,A la recherche de Marcel Proust,Milano,Hachette,1856,BAL ,nan
1791,Mostra di Giovanni Bellini., Histoire d’Angleterre,Milano,Fayard,1962,BAL ,Timbro di possesso di Enrico Gadda.
1792,"Mostra di Leonardo da Vinci,", Histoire de la France,Roma,Wapler,1934,BTB Segn. 531 ,nan
1793,Mostra di Lorenzo Lotto.,Id,Paris,Id. Storia degli Stati Uniti (,1948,BTB Segn. 530 ,Dedica dell’autore in data 7.1953.
1794,Mostra di Paolo Veronese.,La formazione della filosofia politica di Benedetto Croce,Paris,Einaudi,1915,BAL ,Sottolineature.
1795,Mostra di Tiziano. Catalogo,Note autobiografiche,"Roma, Ministero della Marina",Le Monnier,1922,BTB Segn. 1758 ,Dedica dell’autore.
1796,Mostra personale del pittore, Opere,Paris,Rizzoli,1946,BTB Segn. 1538 ,nan
1797,"Motta, Giacinto", Scritti,Journal de voyage en Italie en,Zanichelli,1942,BTB Segn. 532 ,nan
1798,"Müller, Otto",Avvolgimenti delle macchine elettriche a corrente continua ed alternata.      Costruzione – riparazione – anorma lità – localizzazione deiguasti,Viaggio in Italia (,Hoepli,1942,BTB Segn. 533 ,Dedica dell’autore.
1799,"Muratori, Ludovico Antonio",Goethe e il cenacolo di Leonardo,Milano,Hoepli,1971,BTB Segn. 534 ,nan
1800,"Murry, John Middleton", La vita di Goethe seguita nell’epistolario,"Venezia, Neri Pozza",Sperling & Kupfer,1951,BTB Segn. 1868 ,nan
1801,"Muscetta, Carlo",Le più belle pagine,Firenze,Treves,1948,BAL ,Nota di possesso autografa Carlo Emilio Gadda Milano 25 maggio 1920.
1802,Museo del Prado: catalogo de, Poesie,Genève,Barbera,1960,BTB Segn. 2126 ,nan
1803,La musica nel 20° secolo:,. Descritto da celebri viaggiatori ed illustrato dai migliori artisti,"Venezia, Neri Pozza",Sonzogno,1840,BTB Segn. 2040 ,Nota di possesso autografa in data 18.05.1924 Milano.
1804,"Musset, Alfred de",Ferrara brevemente illustrata nei suoi principali monumenti,Milano,E.P.T.,1939,BTB Segn. 2138 ,nan
1805,"Mussolini, Benito",Benito Cereno,Firenze,Einaudi,1932,BTB Segn. 1961 ,nan
1806,"Nabokov, Vladimir", Moby Dick o la balena,Torino,Frassinelli,1813,BTB Segn. Op. 45 ,nan
1807,Natura facit saltus. («Quaderni della radio»:, Pierre o delle ambiguità,Torino,Einaudi,1828,BTB Segn. 1402 ,nan
1808,Neera., La storia di Billy Budd. Traduzione di E. Montale,"Gargiulo, Torino",Bompiani,1868,BTB Segn. 2344 ,nan
1809,"Negri, Gaetano",Libera nos a malo,Xenia,Feltrinelli,1935,BTB Segn. 2231 ,nan
1810,"Negri, Gaetano",De Cervantes y Lope de Vega,Torino,EspasaCalpe,1971,BTB Segn. 2342 ,nan
1811,"Negro, Silvio",L’egoista. Giartosio De Courten,Paris,Einaudi,1968,BTB Segn. 2233 ,nan
1812,"Negro, Silvio",Chronique du règne de Charles IX,"Paris, Flammarion",s.d.,1879,BTB Segn. 2388 ,nan
1813,"Negroni, Carlo",La Messa nella musica. Dalle origini al nostro tempo. s.l,Milano,s.d. (ma:,1890,BTB Segn. 2213 ,nan
1814,"Nemi, Orsola",Breve storia moderna,,San soni,1946,BTB Segn. 2222 ,nan
1815,"Neppi, Alberto",Il Garofano,"Œuvres completes, Paris, Gallimard",All’insegna del  pesce d’oro,1944,BTB Segn. 2218 ,nan
1816,"Nicassio, Francesco",Compendio storico della letteratura italiana,Riflessioni e pensieri inediti (,Giusti,1940,BAL ,Due copie. Postille.
1817,"Nieri, Idelfonso",I peccati di Peyton Place,Modenese,Longanesi,1957,BAL ,nan
1818,"Nieri, Idelfonso","MetternichWinnenburg, Klemens Wenzel Lothar von  Memorie",Milano,Einaudi,1961,BTB Segn. 2247 ,nan
1819,"Nietzsche, Friedrich",Casanova finanziere,Roma,Mondadori,1966,BTB Segn. 2239 ,nan
1820,"Nietzsche, Friedrich",scientifico). Prefazione di G.B. Angioletti,"MilanoNapoli, Ricciardi",ERI,1911,BTB Segn. 2234 ,nan
1821,"Nietzsche, Friedrich",,"RomaLanciano,        Carabba",.,1900,BAL ,nan
1822,"Nievo, Ippolito",Mezzo secolo. (Vita pensiero ed arte). Prefazione di G.B. Angioletti,"Firenze, Il Mondo",ERI,1912,BTB Segn. Op. 96 ,nan
1823,"Nievo, Ippolito",,Fi renze,.,1897,BTB Segn. 2020 ,Nota di possesso autografa in data 1.11.1924 Milano.
1824,"Nievo, Ippolito",Histoire de France,Milano,Flammarion,1915,BTB Segn. 535-539 ,Volume I parzialmente intonso; volume V             intonso.
1825,"Nixon, Richard", Histoire de la Révolution Française,Roma,CalmannLévy,1930,BAL ,nan
1826,"Nixon, Richard", Histoire de la Révolution Française,Milano,Gallimard,1938,BTB Segn. 843 ,nan
1827,Id.d. (ma: 1972).,  Che cos’è un vocabolario? Firenze,"Roma, Documento Libraio         Editore",Le Monnier,1853,BAL ,nan
1828,Id.d. (ma: 1972)., Storia della lingua italiana,Bari,Sansoni,1921,BTB Segn. 2274 ,nan
1829,"Noferi Curioni, Adriana",La ragazza di nome Giulio,Torino,Longanesi,1965,BTB Segn. 1432 ,nan
1830,"Nolhac, Pierre de","Milano. A cura del Comune di Milano, Ufficio Studi",Torino,Ripalta,1924,BTB Segn. 1054 ,Nota di possesso autografa di Enrico Gadda in data 9.1917. Sottolineature e postille.
1831,"Nolhac, Pierre de",Milano,Milano,Milano,1923,BTB Segn. 1539 ,Nota di possesso autografa in data 07.1929.  N
1832,"Nordau, Max",Milano en,Milano,Milano en,1946,BAL ,nan
1833,"Nottola, Umberto",Milano nel,Paris,Milano nel,1945,BTM ,Sottolineature e postille.
1834,"Nottola, Umberto","Milano, i secoli e una nostalgia. Appunti iconografici, storici e letterari. Mele",,Fiera di Milano,1928,BTB Segn. 1479 ,Nota di possesso autografa di Adele Gadda Lehr.
1835,Novelle americane moderne.,,Milano,Vallardi,1923,BTB Segn. 844 ,Intonso.
1836,"Noventa, Giacomo",Il lettore di professione,Milano,Feltrinelli,1927,BTB Segn. 540 ,Parzialmente intonso.
1837,Nozioni preliminari pratiche,"geografia, usi e costumi, belle arti, storia, cultura; volume nono Asia: Vietnam, Malesia, Singapore; Arcipelago Indonesiano, Indonesia, Borneo, Timor, Filippine; Arcipelago Giapponese, Giappone, Ryukyu, Bonin, Volcano; Asia",(,Istituto geografico De Agostini,1929,BTB Segn. 541 ,Dedica dell’autore in data 28.5.1937. Postille.
1838,"Nulli, Sirio Attilio",Tropico del Cancro. Tropico del Capricorno,"Milano, Palazzo Reale aprile/giugno",Feltrinelli,1946,BTB Segn. Op. 48 ,nan
1839,Nuovo dizionario geografico:,"Corso graduato e completo di lingua inglese, parte II",,Millhouse,1946,BTB Segn. 542 ,nan
1840,"Oberdorfer, Aldo",Il paradiso perduto,Venezia Ca’ Pesaro,Sonzogno,1850,BTB Segn. 2192 ,nan
1841,"O’Brien, Flann",L’ammoniaca sintetica ed il processo Casale,"Firenze, L’Arte della Stampa",L’ammoniaca sintetica ed il processo Casale. Redazione ampliata di una conferenza tenuta il 17 febbraio,1962,BTB Segn. 543 ,nan
1842,"O’Brien, Flann",Svjatopolk Storia della letteratura russa,RomaMilanoFirenze,Garzanti,1943,BTB Segn. 544 ,nan
1843,Officine metallurgiche Togni:,di  Bonaventura Tecchi,Febbraiomarzo,Edizioni dell’Ateneo,1953,BTB Segn. 545 ,nan
1844,"Offinger, H.",Mistici del Duecento e Trecento. A cura e con introduzione di A. Levasti,Palazzo Ducale Venezia 12 giugno5 ottobre,Rizzoli,1967,BTB Segn. 1877 ,nan
1845,"Ojetti, Ugo",Madame de Pompadour (,Milano,Madame de Pompadour (,1926,BTB Segn. 1878 ,nan
1846,"Oleša, Jurij Karlovic","L’Arengario. Monza, Soc. Tip","Venezia, Casa editrice Arte Veneta",Soc. Tip. Monzese,1932,BTB Segn. 1965 ,nan
1847,"Olobardi, Umberto"," Descrizione storica della basilica di S. Giovanni Battista in Monza. Monza, Soc. Tip","Venezia, Ca’ Giustinian 25 aprile4 novembre",s.d.,1968,BTB Segn. 547 ,Dedica del curatore in data 29.5.1934.
1848,Omaggio a Milano di poeti,"Molière (JeanBaptiste Poquelin,              detto) Œuvres completes de Molière. Paris, Marescq et ci","Galleria Nazionale d’Arte Moderna Roma, 19 gennaio7 gennaio",Marescq et ci.e,1924,BTB Segn. 546 ,nan
1849,"Omaggio a Montale. Milano, Mondadori, 1966.", Théâtre,Venezia,Hachette,1941,BTB Segn. 548 ,nan
1850,Omero,L’opera dell’imperatore Claudio,"Firenze, Galleria Donatello",Vallecchi,1965,BTB Segn. Op. 1-2 ,nan
1851,Omero,Carlo Porta,"Milano, Hoepli",Formìggini,1933,BTB Segn. 1424 ,nan
1852,Omero, Storia della letteratura italiana,Milano,Principato,1966,BTB Segn. 1423 ,nan
1853,Omero,Storia di Roma. Quattrini,Torino,Aequa,1930,BTB Segn. 1425 ,nan
1854,Omero,alle antichità del Museo Nazionale di Napoli,"Milano, Feltrinelli",La Tipografica,1939,BTB Segn. 1426 ,nan
1855,"Omodeo, Adolfo","Monchablon, E. J. Dizionario compendiato di antichità per maggiore intelligenza dell’istoria antica, sacra e profana, e dei classici greci e latini","Madrid, Publicaciones del Museo del  Prado",Marenigh,1897,BTB Segn. 2445 ,nan
1856,"Omodeo, Adolfo",Frammenti relativi ad una divisione ereditaria,Milano,Hoepli,1763,BAL ,nan
1857,"O’Neill, Eugene",". Lettere femminili nei papiri grecoegizi. Milano, Scuola TipoLitogr","Roma, 414 aprile",Scuola TipoLitogr. Figli della Provvidenza,1930,BTB Segn. 1686 ,nan
1858,"Onelli, Onello",Mussolini piccolo borghese,Paris,Garzanti,1907,BTB Segn. 1686 ,nan
1859,"Oppizzi, Pietro", Mussolini piccolo borghese,"Roma, Libreria del Littorio",Garzanti,1778,BTB Segn. 1759 ,nan
1860,"Orengo, Renata",Id,Paris,Id. Roma,1932,BTB Segn. 124 ,nan
1861,"Orazio Flacco, Quinto",La vie privée de Louis XIV,Milano,Hachette,1959,BTB Segn. 2472 ,nan
1862,"Orazio Flacco, Quinto", La vie quotidienne sous Louis XIV,,Hachette,1930,BTB Segn. 1209 ,nan
1863,"Orazio Flacco, Quinto",Monografia storica dei porti dell’antichità nella penisola italiana. Introduzione di A.G. Barrili,,Ministero della Marina,1963,BTB Segn. 1208 ,nan
1864,"Orazio Flacco, Quinto",de Essais,Milano,Gallimard,1965,BTB Segn. 748 ,nan
1865,"Orazio Flacco, Quinto",Id,,Id. Journal de voyage en Italie en,1926,BTB Segn. 1284 ,nan
1866,"Orazio Flacco, Quinto",Id,Milano,Id. Viaggio in Italia (,1916,BTB Segn. 549 ,nan
1867,"Orazio Flacco, Quinto",Auto da fé,Novara,il Saggiatore,1923,BAL ,nan
1868,"Orazio Flacco, Quinto",  La bufera e altro,"Milano, Bompiani",Neri Pozza,1951,BTB Segn. 2060 ,nan
1869,"Orazio Flacco, Quinto",  La casa dei doganieri e altri versi,Milano,Vallecchi,1943,BTB Segn. 2275 ,nan
1870,., Choix de poèmes. Avalle e S. Hotelier,Padova,Con tinent,1922,BTB Segn. 2369-2372 ,nan
1871,.,  Farfalla di Dinard,Venezia,Neri Pozza,1940,BTB Segn. 2373 ,nan
1872,., Farfalla di Dinard. Introduzione di G. Contini,"Firenze, Le Monnier",Mondadori,1800,BTB Segn. 2471 ,O
1873,.,  Finisterre. Con autografi e un ritratto dell’autore di G. Manzù,"Piacenza, L’arte bodoniana",Barbera,1825,BTB Segn. 1760 ,nan
1874,.,  Le occasioni,"Bari, Laterza",Einaudi,1927,BAL ,nan
1875,., Le occasioni,Milano,Einaudi,1951,BAL  ,nan
1876,"Orlandi, Giuseppe",  Ossi di seppia. Con un’introduzione di A,"Firenze, Le Monnier",F.lli Ribera,1953,BTB Segn. Op. 49 ,nan
1877,"Ortese, Anna Maria",Id,Milano,Id. Xenia,1916,BTB Segn. 2103 ,Nota di possesso autografa in data 1920 Milano.
1878,Ead.,L’evoluzione,,Einaudi,1922,BTB Segn. 2049 ,nan
1879,"Ortolani, Giuseppe","Montesquieu, CharlesLouis de Secondat Considérations sur les causes de la grandeur romaine","Roma, Anonima Romana Editoriale",Hachette,1930,BTB Segn. 845 ,nan
1880,"Ortolani, Sergio", De l’esprit des lois,Testo integrale del discorso televisivo sul Vietnam del presidente Richard Nixon la sera di lunedì 8 maggio,s.d.,1924,BTB Segn. 1384 ,Nota di possesso autografa in data 1944 Roma.
1881,"Ostrogorsky, Georg", Lettere persiane,(ma:,Rizzoli,1951,BTB Segn. 846 ,Intonso.
1882,"Ostwald, Wilhelm"," Lettres persanes. Paris, Flammarion,  s.d",(ma:,s.d.,1947,BTB Segn. 847 ,nan
1883,"Otto, Walter Friedrich",Id,"Paris,Hachette",Gallimard,1937,BAL ,nan
1884,"Ovenden, Michael William",Id,Padova,Id. Riflessioni e pensieri inediti (,1950,BTB Segn. 848 ,nan
1885,"Ovidio Nasone, Publio","Testi volgari italiani dei primi tempi. Modena, Società Tipogr","Paris, Flammarion",Società Tipogr. Modenese,1930,BTB Segn. 11-12 ,"Solo al volume I, nota di possesso autografa in data 1914. Sottolineature."
1886,"Ovidio Nasone, Publio",Incompreso,"Paris, CalmannLévy",Rizzoli,1954,BTB Segn. 10 ,Nota di possesso autografa. Postille.
1887,"Ovidio Nasone, Publio",In morte di Lorenzo Mascheroni: aggiuntovi l’invito a Lesbia,Sesto San Giovanni,Gar roni.,1955,BAL ,Sottolineature.
1888,"Ovidio Nasone, Publio", Opere. Muscetta. Introduzione di C. Muscetta,Firenze,Ricciardi,1955,BTB Segn. 13-14 ,"Solo al volume I, nota di possesso autografa in data 1914. Intonso."
1889,"Ovidio Nasone, Publio",Il balcone di pietra,Paris,Carabba,1920,BAL ,nan
1890,"Ovidio Nasone, Publio",,Torino,,1920,BTB Segn. 1540 ,nan
1891,"Ovidio Nasone, Publio",Come nacque e come finì la seconda guerra europea,Milano,Il Mondo,1940,BTB Segn. 1790 ,nan
1892,"Id. – Tibullo, Albio", La sinistra al potere e altri saggi,Torino,Barbera,1938,BTB Segn. 1285 ,Intonso.
1893,"Ozanam, Jacques",Il conformista,"Milano, Longanesi",Bompiani,1938,BTB Segn. 2235 ,nan
1894,"Pacini, Renato", L’epidemia,Torino,Documento,1884,BAL Postille. ,nan
1895,"Padoa, Emanuele", La noia,"Milano, All’insegna del pesce d’oro",Bompiani,1966,BTB Segn. 2041 ,nan
1896,"Padovani, Giuseppe",  La speranza ossia cristianesimo e comunismo,"Milano, Tamburini e Valdoni",Documento Libraio         Editore,1942,BAL ,nan
1897,«Pagine istriane». Numero,L’utopia,"Torino, Einaudi",Laterza,1908,BTB Segn. 49 ,nan
1898,"Painter, George D.",Costruzioni elettromeccaniche,Roma,UTET,1951,BTB Segn. 100 ,nan
1899,"Pais, Ettore",Embriologia e genetica. Traduzione di O.M. Olivo,4 Milano,Einaudi,1860,BAL ,Postille.
1900,"Paladini, Carlo",Storia della pedagogia. Prefazione di A. Straticò,"Milano, Bernardone",Hoepli,1833,BAL ,Nota di possesso di Carlo Emilio Gadda. Postille.
1901,"Palatini, Francesco",Lezioni di meccanica pratica (resistenza dei materiali),"Milano, Albertari",Salvi,1952,BTB Segn. 46-47 ,nan
1902,"Palazzeschi, Aldo",La pensée française au XVIIIe siècle,Milano,Colin,1957,BTB Segn. 44  ,Sottolineature e postille.
1903,"Palazzeschi, Aldo","Il messaggio di Piero Gobetti. Roma, Associazione Italiana per la libertà della cultura, s.d. («Problemi del nostro tempo»)","Torino, Einaudi",s.d. («Problemi del nostro tempo»).,1967,BTB Segn. 50 ,nan
1904,"Palazzeschi, Aldo",Vita di Dostojewski tratta dalle sue lettere e da ricordi di testimoni,Torino,Sperling & Kupfer,1953,BTB Segn. 45  ,Pieghe e postille.
1905,"Palazzi, Fernando",  La fatica,"Estratto dall’«Archivio Veneto», XVII",Treves,1965,BAL ,nan
1906,"Paléologue, Maurice",Mostra colombiana internazionale,"MilanoParigi, Coen",Mostra colombiana internazionale.  (,1965,BTB Segn. 101 ,nan
1907,"Pallavicino, Pietro Sforza",Caravaggeschi,Stuttgart,Palazzo Reale aprile/giugno,1972,BTB Segn. 48 ,nan
1908,"Palmarocchi, Roberto",". Comune di Firenze. Palazzo Vecchio. Firenze, Comune di Firenze, s.d","Firenze, Le Monnier",con illustrazioni.,1954,BTB Segn. 2082 ,nan
1909,"Pancrazi, Pietro",La mostra del Tintoretto,Roma,La mostra del Tintoretto. Venezia Ca’ Pesaro,1949,BAL ,nan
1910,"Pane, Roberto",Mostra della biblioteca di Lorenzo nella Biblioteca MediceoLaurenziana:,PisaRoma,L’Arte della Stampa,1941,BTB Segn. 550 ,nan
1911,"Panzini, Alfredo",del Sei e Settecento in Palazzo Pitti.,"Roma, Sindacato Nazionale Scrittori",Bestetti&Tumminelli,1952,BAL ,nan
1912,"Panzini, Alfredo",pittura francese dell’Ottocento,"Milano, All’insegna del pesce d’oro",pittura francese dell’Ottocento. Febbraiomarzo,1944,BTB Segn. 849 ,Invio a Clara Gadda.
1913,"Panzini, Alfredo",.  illustrato della mostra,Milano,.  illustrato della mostra. Palazzo Ducale Venezia 12 giugno5 ottobre,1954,BTB Segn. 551 ,Intonso.
1914,"Panzini, Alfredo","Mostra di , Milano, Palazzo dell’arte 9 maggio1 ottobre XVII: guida ufficiale",,S.A.M.E.,1943,BTB Segn. 1480 ,nan
1915,"Paoli, Jacques",,"Milano, Dante Alighieri",Casa editrice Arte Veneta,1905,BTM ,"Nota di possesso Milano, agosto 1925. Sottolineature e postille."
1916,"Paoli, Ugo Enrico",.  delle opere,,Ca’ Giustinian 25 aprile4 novembre,1941,BTB Segn. 1791 ,nan
1917,Paolo Diacono,Mostra di pittura americana del XIX secolo,Leipzig,19 gennaio7 gennaio,1866,BTB Segn. 2083 ,nan
1918,"Papi, Roberto",Mostra di Tiziano.  delle opere. Venezia XXV aprileIV novembre MCMXXXVXIII. Presentazione di A. Barbantini,,Off. Grafiche Ferrari,1700,BTB Segn. 55 ,Parzialmente intonso.
1919,"Papini, Giovanni",Giu seppe Cesetti,Dai diari e dalle lettere dei caduti,Galleria Donatello,1931,BTB Segn. 59 ,nan
1920,"Papini, Giovanni", Mostra personale di Pio Semeghini Circolo artistico di Cortina d’Ampezzo,Bari,27 dicembre,1941,BTB Segn. 56  ,Postille.
1921,"Paratore, Ettore","Acqua, carbone, elettricità: discorso pronunciato alla XX riunione della Società Italiana per il progresso delle scienze (Milano, 18 settembre",Firenze,18 settembre,1918,BTB Segn. 57-58 ,nan
1922,"Parenti, Marino",Tavole di logaritmi con cinque decimali,,Hoepli,1918,BTB Segn. 61-62 ,Postille.
1923,"Parenti, Marino",Annali d’Italia ed altre opere varie,Firenze,Ubicini,1924,BTB Segn. 60 ,nan
1924,"Pareto, Vilfredo",Shakespeare,Milano,Einaudi,1908,BTB Segn. 104 ,nan
1925,"Pareto, Vilfredo",Cultura e poesia di Giuseppe Gioa chino Belli,"Milano, All’insegna del pesce d’oro",Feltrinelli,1971,BTB Segn. 42 ,Nota di possesso autografa. Postille.
1926,"Pareyson, Luigi",los cuadros,MilanoRomaNapoli,Publicaciones del Museo del  Prado,1945,BTB Segn. 2144-2147 ,P
1927,"Pariani, Carlo",Il Museo di Mosca. Introduzione di I. Antonova. Testi di K.M. Malizkaia.  Dalai,"Società Dante Alighieri, Roma",Garzanti,1961,BTB Segn. 2188 ,nan
1928,"Paribeni, Roberto",convegno internazionale di musica contemporanea,Paris,414 aprile,1957,BTB Segn. 2130 ,nan
1929,"Parini, Giuseppe",La confession d’un enfant du siècle,Milano,Flammarion,1945,BTB Segn. 1541 ,nan
1930,"Parini, Giuseppe",Gli accordi del Laterano. Discorsi al Parlamento,,Libreria del Littorio,1949,BTB Segn. 1139 ,nan
1931,"Parini, Giuseppe",Lolita,Como,Gallimard,1972,BTB Segn. 1481-1485 ,Volumi III e V intonsi.
1932,"Parini, Giuseppe",Narratori spagnoli. Raccolta di romanzi e racconti dalle origini ai nostri giorni,MilanoRomaNapoli,Bompiani,1954,BTB Segn. 1720 ,Postille.
1933,"Parini, Giuseppe", Natura facit saltus. («Quaderni della radio»: 23),"Milano, Istituto Editoriale Italiano",* Natura facit saltus. («Quaderni della radio»: 23).,1942,BTB Segn. 2127-2128 ,Nota di possesso autografa in data 1925 Milano. Parzialmente intonsi.
1934,"Parini, Giuseppe",,,* .,1955,BAL ,nan
1935,"Parini, Giuseppe",L’imperatore Giuliano l’Apostata,,Hoepli,1959,BTB Segn. 552 ,nan
1936,"Paris. Paris, Hachette, 1952"," Segni dei tempi. Profili e bozzetti letterari. Milano, Hoepli («Opere di G. Negri»:   4)","Milano, Istituto editoriale italiano",Hoepli («Opere di G. Negri»:   4).,1960,BAL ,nan
1937,"Paris, Jean",Seconda Roma (,Paris,Seconda Roma (,1953,BTB Segn. 1761 ,nan
1938,"Parise, Goffredo", Vaticano minore,,Hoepli,1968,BTB Segn. 664 ,nan
1939,"Parise, Goffredo",Della vita e dei fatti di Quintino Sella. Discorso commemorativo,Paris,Miglio,1958,BTB Segn. 1140 ,nan
1940,"Parise, Goffredo",I gioielli rubati,Savona,Bompiani,1959,BTB Segn. 850 ,nan
1941,"Parise, Goffredo",Mantegna,"Milano, Feltrinelli",Bietti,1951,BTB Segn. 2236 ,nan
1942,"Parise, Goffredo",Facce di bronzo. Poesia e rivoluzione,,Rebellato,1911,BTB Segn. 553 ,Nota di possesso autografa di Enrico Gadda in data 10.08.1917 Campoformio.
1943,"Parrella, Michele",I caratteri,Milano,Neri Pozza,1904,BTB Segn. 554 ,nan
1944,"Parronchi, Alessandro", Cento racconti popolari lucchesi e altri racconti,"Torino, Einaudi",Le Monnier,1968,BTB Segn. 2446 ,nan
1945,"Parronchi, Alessandro",Così parlò Zarathustra. Un libro per tutti e per nessuno. Traduzione di R.G,"Firenze, Vallecchi",L’arte bodoniana,1943,BTB Segn. 555 ,Nota di possesso autografa in data 10.06.1924 Milano.
